date,step,,,,,
1/5/20 18:42,39,,,,,
1/5/20 18:42,13,,,,,
1/6/20 0:09,8,,,,,
1/6/20 0:21,22,,,,,
1/6/20 0:22,6,,,,,
1/6/20 0:22,1,,,,,
1/6/20 0:41,6,,,,,
1/6/20 0:41,10,,,,,
1/6/20 0:41,4,,,,,
1/6/20 0:41,11,,,,,
1/6/20 0:42,3,,,,,
1/6/20 0:42,8,,,,,
1/6/20 0:43,6,,,,,
1/6/20 1:08,32,,,,,
1/6/20 1:12,8,,,,,
1/6/20 1:12,3,,,,,
1/6/20 1:14,13,,,,,
1/6/20 1:21,25,,,,,
1/6/20 1:40,1,,,,,
1/6/20 2:56,6,,,,,
1/6/20 12:47,57,,,,,
1/6/20 14:19,9,,,,,
1/6/20 16:49,4,,,,,
1/6/20 17:33,219,,,,,
1/6/20 17:56,20,,,,,
1/6/20 18:07,183,,,,,
1/6/20 18:08,40,,,,,
1/6/20 19:29,32,,,,,
1/6/20 19:30,117,,,,,
1/6/20 19:42,90,,,,,
1/6/20 20:04,23,,,,,
1/6/20 20:06,164,,,,,
1/6/20 20:15,18,,,,,
1/6/20 20:23,14,,,,,
1/6/20 20:23,6,,,,,
1/6/20 20:26,8,,,,,
1/6/20 20:26,21,,,,,
1/6/20 20:27,10,,,,,
1/6/20 20:27,8,,,,,
1/6/20 20:27,2,,,,,
1/6/20 20:41,53,,,,,
1/6/20 21:17,13,,,,,
1/6/20 21:18,22,,,,,
1/6/20 21:19,10,,,,,
1/6/20 21:19,5,,,,,
1/6/20 21:19,3,,,,,
1/6/20 21:19,2,,,,,
1/6/20 21:29,14,,,,,
1/6/20 21:29,11,,,,,
1/6/20 21:31,8,,,,,
1/6/20 21:31,23,,,,,
1/6/20 21:35,3,,,,,
1/6/20 21:54,127,,,,,
1/6/20 21:57,182,,,,,
1/6/20 22:15,193,,,,,
1/6/20 22:17,38,,,,,
1/6/20 23:35,34,,,,,
1/6/20 23:47,26,,,,,
1/7/20 1:05,14,,,,,
1/7/20 1:05,5,,,,,
1/7/20 1:26,13,,,,,
1/7/20 1:26,4,,,,,
1/7/20 1:27,13,,,,,
1/7/20 1:27,23,,,,,
1/7/20 1:27,3,,,,,
1/7/20 1:43,34,,,,,
1/7/20 3:04,9,,,,,
1/7/20 3:06,9,,,,,
1/7/20 11:40,5,,,,,
1/7/20 14:47,18,,,,,
1/7/20 15:16,41,,,,,
1/7/20 18:06,18,,,,,
1/7/20 18:14,21,,,,,
1/7/20 19:11,36,,,,,
1/7/20 20:38,2,,,,,
1/7/20 21:46,213,,,,,
1/7/20 22:17,106,,,,,
1/7/20 22:25,155,,,,,
1/7/20 22:33,21,,,,,
1/7/20 22:33,4,,,,,
1/7/20 22:33,8,,,,,
1/7/20 22:33,3,,,,,
1/7/20 22:35,14,,,,,
1/7/20 22:35,10,,,,,
1/7/20 22:35,8,,,,,
1/7/20 22:35,6,,,,,
1/7/20 22:35,8,,,,,
1/7/20 22:36,5,,,,,
1/7/20 22:36,14,,,,,
1/7/20 22:36,10,,,,,
1/7/20 22:36,10,,,,,
1/7/20 22:36,9,,,,,
1/7/20 22:36,10,,,,,
1/7/20 22:36,8,,,,,
1/7/20 22:36,10,,,,,
1/7/20 22:36,9,,,,,
1/7/20 22:36,10,,,,,
1/7/20 22:36,9,,,,,
1/7/20 22:37,10,,,,,
1/7/20 22:37,10,,,,,
1/7/20 22:37,9,,,,,
1/7/20 22:37,10,,,,,
1/7/20 22:37,10,,,,,
1/7/20 22:37,12,,,,,
1/7/20 22:37,4,,,,,
1/7/20 22:37,5,,,,,
1/7/20 23:04,58,,,,,
1/7/20 23:06,9,,,,,
1/7/20 23:27,11,,,,,
1/8/20 10:09,12,,,,,
1/8/20 10:09,4,,,,,
1/8/20 10:37,138,,,,,
1/8/20 10:45,18,,,,,
1/8/20 11:06,175,,,,,
1/8/20 11:14,181,,,,,
1/8/20 11:23,22,,,,,
1/8/20 11:23,9,,,,,
1/8/20 11:23,11,,,,,
1/8/20 11:23,9,,,,,
1/8/20 11:24,10,,,,,
1/8/20 11:24,10,,,,,
1/8/20 11:24,2,,,,,
1/8/20 11:25,17,,,,,
1/8/20 11:25,17,,,,,
1/8/20 11:25,6,,,,,
1/8/20 11:25,7,,,,,
1/8/20 11:25,9,,,,,
1/8/20 11:27,17,,,,,
1/8/20 11:27,10,,,,,
1/8/20 11:27,1,,,,,
1/8/20 11:56,70,,,,,
